Reporting Date,Cumulative Killed Persons,Cumulative Injured Persons,Killed persons since previous reporting date,Injured persons since previous reporting date
07-10-2023,232,"1,697",232,"1,697"
8-10-2023,370,"2,200",138,503
09-10-2023,560,"2,900",190,700
10-10-2023,900,"4,250",340,"1,350"
11-10-2023,"1,100","5,339",200,"1,089"
12-10-2023,"1,417","6,268",317,929
13-10-2023,"1,900","7,696",483,"1,428"
14-10-2023,"2,228","8,744",328,"1,048"
15-10-2023,"2,670","9,600",442,856
16-10-2023,"2,808","10,850",138,"1,250"
17-10-2023,"3,000","12,500",192,"1,650"
18-10-2023,"3,478","12,500",478,0
19-10-2023,"3,785","12,500",307,0
20-10-2023,"4,137","13,162",352,662
21-10-2023,"4,385","13,561",248,399
22-10-2023,"4,651","14,425",266,864
23-10-2023,"5,087","15,273",436,848
24-10-2023,"5,791","16,297",704,"1,024"
25-10-2023,"6,547","17,439",756,"1,142"
26-10-2023,"7,028","18,482",481,"1,043"
27-10-2023,"7,326","18,967",298,485
28-10-2023,"7,703","19,743",377,776
29-10-2023,"8,005","20,242",302,499
30-10-2023,"8,309","21,048",304,806
31-10-2023,"8,525","21,543",216,495
1-11-2023,"8,805","22,240",280,697
02-11-2023,"9,061","22,911",256,671
3-11-2023,"9,257","23,516",196,605
04-11-2023,"9,485","24,173",228,657
5-11-2023,"9,770","24,808",285,635
06-11-2023,"10,022","25,408",252,600
7-11-2023,"10,328","25,956",306,548
08-11-2023,"10,569","26,475",241,519
9-11-2023,"10,818","26,905",249,430
10-11-2023,"11,078","27,490",260,585
12-11-2023,"11,078","27,490",0,0
13-11-2023,"11,078","27,490",0,0
14-11-2023,"11,078","27,490",0,0
15-11-2023,"11,078","27,490",0,0
17-11-2023,"11,078","27,490",0,0
18-11-2023,"11,078","27,490",0,0
19-11-2023,"11,078","27,490",0,0
20-11-2023,"11,078","27,490",0,0
22-11-2023,"14,500","35,000","3,422","7,510"
23-11-2023,"14,800","36,000",300,"1,000"
2-12-2023,"15,207","40,652",407,"4,652"
